Scheme,       LINK,        FILE
"Himachal Pradesh govt. has decided to implement HP Ujjwala Grahini Suvidha Yojana (GSY) in the cabinet meeting held on 8 January 2019. Himachal Grihini Suvidha Yojana application form is available in PDF format at the official website. People can download E-KYC form and application form pdf of Grahani Suvidha Yojna to avail domestic LPG gas connections.
Grihini Suvidha Yojana in Himachal Pradesh is going to result in women empowerment and will also help in creating a pollution free environment in the state. HP govt. will implement this Grahini Suvidha Yojana (HGSY) with an outlay of Rs. 12 crore.
Previously, the state govt. has announced this Grihini Sividha Yojna in the annual Himachal Pradesh Budget 2018-19.",http://admis.hp.nic.in/ehimapurti/downloads.htm,https://drive.google.com/file/d/1nzqDwwPoHYkLS1i3xxTbgljjbqbg-znW/view?usp=sharing
"Himachal Pradesh cabinet committee has taken a number of decisions on 5 November 2018 for the welfare of common people. To ensure the objective of “Healthy Himachal”, the state govt. has decided to start HP Mukhyamantri Nirog Yojana. There is no age limit and the scheme will be applicable to all the permanent citizens of the state. 
The primary objective of Mukhyamantri Nirog Yojana is to identify long term problems through check-ups and to ensure proper cure to people. Under this scheme, the state govt. will provide free medicines for proper cure of the health problems.
The announcement of this health scheme was made in the Himachal Pradesh budget 2018-19.",www.cmohimachal.com,https://drive.google.com/file/d/1c15_2b6zpJjAEVhRJzPVNO4owshOjtKr/view?usp=sharing
"Himachal Pradesh govt. has launched Him Pragati portal developed by MeitY to facilitate private investors establishing projects in state in Power, Tourism and Industrial sectors. This is the official web portal of the Chief Minister’s office, Himachal pradesh. Interested investors can make private user project registration at the official Him Pragati Portal at himpragati.nic.in 
Private investors can raise their concerns regarding projects to speed up the entire execution process. This site is informative as it contains the list of HP govt. schemes, employment generation activities, jan manch section and provides links to other govt. department / officials also.
The content at this Him Pragati portal is owned by respective organizations which may be contacted for further information or suggestion. Neither NIC nor Chief Minister’s Office (CMO) is liable for any inadvertent or typing errors.",https://t.co/x8joDaFjFO,https://drive.google.com/file/d/1NC-xq_Z7haCH3Nt_Usmm-maipU4KiM2o/view?usp=sharing
"Himachal Pradesh govt. has raised the financial assistance under Mukhyamantri Rajya Swasthya Dekhbhal Yojana. Now, the state govt. would provide an assistance amount of Rs. 5 lakh instead of previous Rs. 30,000. CM Jai Ram Thakur has also launched 3 other health scheme namely Mukhyamantri Chikitsa Rahat Kosh Yojana, HP Universal Health Protection Scheme and Telemedicine scheme for Pangi in Chamba district. 
HP govt. has inaugurated OPD / IPD, Trauma Centre of Shri Lal Bahadur Shastri government medical college, Ner Chowk and Nursing College at Ner Chowk in Mandi district. CM Jai Ram Thakur has also announced to open Atal Medical and Research University in Ner Chowk medical college. 
HP govt. has increased the monthly salary of contractual medical officers by Rs. 10,000 p.m and that of contractual specialist medical officers by Rs. 15,000 per month.",pic.twitter.com/v8n624LSlI,https://drive.google.com/file/d/1qvM-wmdt90lTecZz1QoCuZvNnMz33E5p/view?usp=sharing
"Himachal Pradesh govt. has launched Universal Health Protection Scheme to provide free treatment upto Rs. 5 lakh to all the citizens. CM Jai Ram Thakur launches the Ayushman Bharat – PM Jan Arogya Yojana (PMJAY) in Himachal Pradesh to provide assistance for secondary and tertiary hospitalization without any restriction of age, family size and income.",https://hpuhps.com/,https://drive.google.com/file/d/1xKixtHJSV2xo9Yk5EeZTYYS6GdvtSdl-/view?usp=sharing
"Himachal Pradesh govt. has launched 4 new health schemes namely Mukhyamantri Chikitsa Raahat Kosh Yojana, Mukhya Mantri Rajya Swasthya Dekhbhal Yojana, Himachal Pradesh Universal Health Protection Scheme and Telemedicine scheme for Pangi in Chamba district. HP govt. is going to provide assistance to patients who are not included in the social security pension scheme. 
CM Jai Ram Thakur has inaugurated OPD / IPD, Trauma Centre of Shri Lal Bahadur Shastri government medical college, Ner Chowk and Nursing College at Ner Chowk in Mandi district. CM has also announced to open Atal Medical and Research University in Ner Chowk medical college. 
HP govt. is going to enhance the monthly pay of medical officers appointed on contract basis by Rs. 10,000 p.m and that of specialist medical officers on contract basis by Rs. 15,000 per month. ",pic.twitter.com/PeQOLENTOz,https://drive.google.com/file/d/1TEQbW87_s-dowdWo_H8isZEJyzML64xh/view?usp=sharing
"Himachal Pradesh govt. is going to provide free stainless steel water bottles to 90,000 govt. school students studying in class 9th in the state. This decision will discourage the usage of plastic bottles as the state govt. has imposed ban on the plastic items, thermocol plates, polythene & glasses. The initiative will be funded under Mukhya Mantri Vardi Yojana – free school uniform scheme. 
HP govt. has initiated the process of distribution of steel water bottles to IX class govt. school students. On 11 October 2018, CM will attend a high level meeting comprising of the officials of education, dept. of food & public distribution and dept. of environment. Govt. will purchase stainless steel water bottles through the medium of dept. of food and public distribution and environment dept. will allocate budget.
CM has made this announcement to distribute free steel water bottles on 5 June 2018 at the occasion of World Environment Day. ",pic.twitter.com/F8OfVqmTk6,https://drive.google.com/file/d/1lGH4HhUsxS4zCatezV5K7Tv4ft1Bbor2/view?usp=sharing
"HP Saur Sinchai Yojana 2020How to Apply Online for HP Saur Sinchai YojanaList of Documents Required for HP Saur Sinchai YojanaSubsidy Amount on Solar Agriculture PumpsetsObjectives of HP Saur Sinchai YojanaSalient Features of HP Saur Sinchayee YojanaPradhan Mantri Sinchai Yojana in Himachal PradeshHP Vidyarthi Van Mitra Yojana
Himachal Pradesh government is implementing HP Saur Sinchai Yojana to double farmers income by 2022. The state govt. will provide Solar Pump Sets to farmers for agricultural / irrigation purposes. Under this scheme, govt. will provide 90% financial assistance to small and marginal farmers for purchase of pumpsets. Govt. will provide 80% subsidy to all individual medium and big farmers.
100% financial assistance will be given to a group of farmers of small and marginal category / Kisan Vikas Sanghs / Registered Body of farmers. Under this scheme, 5850 agricultural pumps will be made available to the farmers. The state govt. will also start Flow Irrigation Scheme with an outlay of 174 crore.
HP Saur Sinchai Scheme will ensure irrigation in 7152.30 hectares of farming land. This primary objective of this scheme is “Doubling Farmers Income by 2022”. The main aim is to increase the total output of agriculture and horticulture produce.",http://farmer.gov.in/imagedefault/handbooks/FFH-2017HimachalPradesh-hindi.pdf,https://drive.google.com/file/d/1GOuRhTeW1aLJZcOtwRJKhpZrLlIP7imp/view?usp=sharing
"HP Yuva Aajeevika Yojana for Self Employment – Eligibility for LoanWorks for which Rs. 30 Lakh Loan For Self Employment will be GivenOther New Schemes in Himachal Pradesh Budget
Himachal Pradesh Govt. is going to launch a new scheme named “Yuva Aajeevika Yojana” for Self Employment. Under this scheme, govt. will provide an interest subsidy of 5% on Loans upto Rs. 30 Lakh to unemployed youths. This scheme will focus on job creation and will provide employment opportunities to berojgar youths. All the jobless candidates can avail this loan amount for any work of their choice. 
In this Youth Livelihood Mission, any entrepreneur will get 5% interest subsidy for 3 years on an investment upto Rs. 30 lakhs. For this purpose, govt. has allocated a budget of Rs. 75 crore. 
Panchayati Raj Department has already prepared the guidelines and has sent it to the state govt. for approval. After approval, the state govt. will implement this scheme across the state",https://www.indiafilings.com/learn/yuva-aajeevika-yojana/,https://drive.google.com/file/d/1dn0yL4S9BPP_FZVdEZq5UkD8bPiDqO7a/view?usp=sharing
"Himachal Pradesh govt. has launched Nai Raahein Nai Manzilien Scheme to diversify tourism. Under this scheme, the state govt. of HP will identify unexplored and untapped tourist destinations. This scheme will promote tourism in these tourist places located across the countryside particularly focusing on rural areas. The total budgetary allocation of Nai Rahen Nai Manzil Scheme is Rs. 50 crore. 
CM Jai Ram Thakur has made this announcement while presiding over the Review Meeting of Himachal Pradesh Tourism Department. HP govt. will select circuits for infrastructure development and will carry out various developmental works in these circuits under Nai Rahen Nai Manzil Scheme. 
In addition, govt. will develop one particular destination in every selected circuit as an ideal and unique tourist destination. This will attract tourists fro different places which in turn will diversify tourism.",https://himachaltourism.gov.in/nai-raahein-nai-manzilein/,https://drive.google.com/file/d/1H9eKoW5GxuJYDz2kHcd3LvekFNm_ynlA/view?usp=sharing
"HP Mukhyamantri Yuva Swavalamban Yojana 2020Himachal Pradesh Grahini Suvidha YojanaHimachal Pradesh Budget 2018-19 – List of Schemes
Himachal Pradesh government has decided to expand the coverage of HP Mukhyamantri Yuva Swavalamban Yojana 2020. In this MYSY scheme, govt. will promote self-employment opportunities for the youth and will encourage entrepreneurship. The state govt. has notified disbursal of subsidy under CM Yuva Swavalamban Scheme through nodal banks instead of treasury.
The state govt. in its cabinet meeting has approved the expansion of MYSY scheme which was firstly announced earlier in the Himachal Pradesh Budget 2018-19. For Yuva Swavalamban Yojana in HP, govt. will invite online registrations on the official website at https://www.emerginghimachal.hp.gov.in/.
The description of both CM Youth Self Dependent Scheme is given in this post. Moreover, the registration process is going to open soon. As soon the online registration begins, we will update it here.",https://food.hp.nic.in/pdfs/HGSYform.pdf,https://drive.google.com/file/d/1qgeUqOJ_zIPfxMb24ezDcrJlM81QvIzY/view?usp=sharing
"Himachal Pradesh govt. has launched Mukhyamantri Alpsankhyak Kalyan Yojana 2018. Under this scheme, HP govt. will provide financial assistance for the marriage of muslim girls, medical treatment to poor muslim families and to provide social security pension to old, widows and disabled people of minority communities. This amount will be given through the Waqf Board. 
The state govt. is committed for the welfare and development of minorities sections of the society. This would enable the minority section to get equal opportunities for development purpose. 
CM Jairam Thakur has made this announcement while addressing a gathering in Chamba after the launch of HP Mukhyamantri Alpsankhyak Kalyan Yojana on 6 August 2018.",https://pmmodiyojanaye.in/mukhyamantri-alpsankhyak-rojgar-rinn-yojana/,https://drive.google.com/file/d/1_Mx19AkOjAhMVO4JbP6Qs0HJYMVynKEd/view?usp=sharing
"Himachal Pradesh govt. has launched HP Akhand Shiksha Jyoti – Mere School Se Nikle Moti scheme to honour govt. school alumni. Under this scheme, names of old students would be written on ‘Roll of Honour board’ to be displayed in the respective schools to motivate students to work hard and excel in life. Himachal Pradesh is performing well in the field of education and the state has emerged as second state in the country after Kerala in highest literacy rate.
CM Jai Ram Thakur launches Akhand Shiksha Jyoti – Mere School Se Nikle Moti scheme from government senior secondary school Bagsiad, in Seraj area of Mandi district. Those students of Himachal Pradesh who have earned name in different walks of life will be honoured.
The chief minister also released the booklet on “Guidelines” on this scheme which is brought out by DIET Mandi.",https://www.readermaster.com/hp-akhand-shiksha-jyoti-yojana-mere-school-se-nikle-moti-scheme-himachal-pradesh/,https://drive.google.com/file/d/15rsw0PQc2emtH-kHR6voVjEwvUDLftmc/view?usp=sharing
"Himachal Pradesh govt. has launched Mother’s Absolute Affection Scheme for pregnant and lactating mothers. Mother’s Milk in the first hour of birth and exclusive breastfeeding for first 6 months thereafter is very important for children well being. MAA Programme 2018 under National Health Mission will create awareness in the general public and this breastfeeding programme will also reduce under 5 mortality rate of children.
Breastfeeding is a natural, low cost and important intervention and every child must have access to it. MAA Programme targets at pregnant and lactating mothers through trained healthcare providers and skilled community health workers. 
As per the reports data, around 13% of children death occurs due to poor breastfeeding. MAA programme will create a suitable eco-system to provide proper info. to mothers, husbands and other family members.",http://www.nhm.gov.in/MAA/Operational_Guidelines.pdf,https://drive.google.com/file/d/10XasQptO0HQRR8XFwRFtZHsDkgRfR_6K/view?usp=sharing
"Himachal Pradesh govt. has launched Nutrition Scheme for HIV Positive children. Under this scheme, all the youths up to 18 years of age will get nutrition supplements to boost their immunity. Accordingly, all the children who are tested positive for HIV can avail the benefits of this scheme.
This scheme will enable HIV affected children to lead a normal and healthy life. Himachal CM has launched this initiative on an awareness campaign organized by HP State AIDS Control Society.
Furthermore, HP govt. is also going to make HIV testing of every expectant mother compulsory from current Financial Year. It is necessary as the number of AIDS cases has increased to 5700 in HP state. ",http://naco.gov.in/sites/default/files/Paedia%20Nutrition%20national%20guidelines%20NACO.pdf,https://drive.google.com/file/d/1SvmgaLtING1Kzk8Ks6Iy6IPzI5SNMqGC/view?usp=sharing
"Jammu Kashmir Ration Card Application Form | Ration Card Form PDF Jammu & Kashmir | J&K Ration Card Form Download
Department of Food, Civil Supplies & Consumer Affairs of Jammu and Kashmir has released the J&K Ration Card application form 2020 for downloading purpose in PDF format online at jkfcsca.gov.in. All those people whose name does not appears in the J&K Ration Card List 2019-2020 can now check how to apply for new APL / BPL ration card. Moreover, people can also download Ration Card Report With Family Details for inclusion of name in J&K Rashan Card List.
All the candidates can check the process of ration card application form J&K download in urdu & downloading new ration card form j & k. In addition to this, people can perform j&k ration card form download and submit it to the concerned dir capd authority to get their name included in the new J&K Ration Card List online.",jkfcsca.gov.in,https://drive.google.com/file/d/1SfFq2vrzVBVEUcgaNEMclSd0auk0qJEv/view?usp=sharing
"Election Commission of India (ECI) had announced Lok Sabha Election Dates for voting across the country. In the J&K state, voting for 7 Loksabha seats was held in 4 phases namely Phase 1 (voting on 11th April 2019), Phase 2 (voting on 18th April 2019), Phase 4 (voting on 29th April 2019), Phase 5 (voting on 6th May 2019). Chief Electoral Officer has published JK CEO Voter List 2020 where people can perform name search in the New PDF Electoral Roll and download Voter ID Card online.All the citizens can check their name in the district wise JKCEO Voter List 2020 with Photo and download Voter ID Card. The updated JK CEO Electoral Rolls with Photo are available in the PDF format where people can find their name in the CEO JK Voters List 2020 and can Download Voter ID Card before casting their vote. In case the name of the candidate does not appears in the Jammu & Kashmir voters list, then they can apply online for voter card. 
The entire PDF file of the electoral roll (JK CEO Voter List 2020) is now available. Here citizens can perform manual searching in the J&K Voter List 2020. Moreover, people can adopt a hassle free process and check their names online.",ceojammukashmir.nic.in,https://drive.google.com/file/d/1vfS4wKo4piaLqKoucP0JRueXKDv3G41O/view?usp=sharing
"Jammu and Kashmir govt. has announced to launch J&K Government Scholarship Scheme for Differently Abled Students. As per the announcement on the International Day of Disabled Persons, financial assistance of Rs 1 lakh each would be awarded annually to a meritorious specially abled boy and girl student. 
J&K Govt Scholarship Scheme for Specially Abled Students is a social welfare scheme for handicapped persons. This scheme is a part of the ongoing efforts to create suitable infrastructure and institutions to facilitate the adjustment of disabled students in the society.
This scheme will ensure handicapped students to lead a life of dignity and raise their status of living in the society.",https://www.buddy4study.com/scholarships/physically-disabled-scholarship-in-jammu-kashmir,https://drive.google.com/file/d/128m2pXrf3YQ4gte7OQl5bgp5taH_2ydn/view?usp=sharing
"Jammu & Kashmir govt. has launched Ayushman Bharat – PM Jan Arogya Yojana (AB-PMJAY) on 1 December 2018. PMJAY health insurance scheme in J&K is going to benefit around 31 lakh residents in the state. To mark the official launch of the scheme, governor has distributed golden cards among 10 beneficiaries to avail the annual health coverage facility. 
Ayushman Bharat Yojana or the Pradhan Mantri Jan Arogya Yojana will provide cashless and paperless health insurance facilities to the poor and vulnerable families. People can avail these treatment facilities in all govt. and empanelled private secondary and tertiary care hospitals of the country.
AB-PMJAY scheme (Modicare) is the world’s largest healthcare scheme to provide portable coverage of Rs. 5 lakh per entitled family annually. ",https://pmjay.gov.in/,https://drive.google.com/file/d/1SqKJCy9hbwsGkYcFX50jXHGV8I5Wsopr/view?usp=sharing
"Governor’s administration in Jammu and Kashmir has rolled out Group Mediclaim Health Insurance Scheme for employees, pensioners and accredited journalists in the state. Under this scheme, the state govt. will provide health insurance coverage of Rs. 6 lakh per employee or pensioner per annum. Even the 5 dependent family members of the beneficiaries are also included for insurance coverage on floater basis. 
J&K Group Mediclaim Health Insurance Scheme is compulsory for all government employees including employees of PSUs, autonomous bodies and universities. However, this scheme is optional for pensioners, AIS officers, contractual employees, daily wage workers, contingent paid workers and accredited journalists.
The state administration wants to improve the overall health insurance coverage in the state to realize its vision of “Health For All”.",https://jakfinance.nic.in/CIRCULARs/CIRCULAR_2018/POLICY%20PRODUCT_%20CM'S%20GROUP%20MEDICLAIM%20INSURANCE%20POLICY.pdf,https://drive.google.com/file/d/1b_Tu80mwWVjJwUEw5WQP6s_Ksna1Qete/view?usp=sharing
"
PMSSS Registration 2018-19 for J&K StudentsPMSSS 2018-19 – Details of ScholarshipPMSSS 2018-19 Eligibility CriteriaAICTE JK Scholarship Latest NewsReferences
As per the official AICTE JK Scholarship Latest News, PMSSS Registration 2018-19 for J&K Students has now started from 10 April 2018. There are 5000 aicte scholarship available for students under pmsss 2018-19. Interested and eligible students of 10+2 and diploma holders can apply for Prime Minister’s Special Scholarship Scheme. Students of J&K can make pmsss 2018 registration at official website aicte-jk-scholarship-gov.in
PMSSS 2018-19 will help in capacity building to enable, educate and empower the youths of Jammu and Kashmir. PMSSS Online registrations for class 12th has been started on 10 April 2018 and last date to apply is 9 May 2018. Moreover, the lateral entry admission of diploma holders will start from 17 April 2018 and last date is 16 May 2018.
Latest Update – The last date to fill the PMSSS Scholarship Application Form is now extended to 21 May 2018 for 10+2 students. Moreover, the last date for Diploma Passed Students (Lateral Entry Admission for 2nd year) is now extended till 25 May 2018.",https://aicte-jk-scholarship-gov.in/,https://drive.google.com/file/d/1leeb-EfoOmqHU1v0SBnQm938bL40dg5b/view?usp=sharing
"Finance Ministry, Jammu & Kashmir has launched CM’s Business Interest Relief Scheme for industries and businesses. Subsequently, J&K govt. will provide one-third (1/3) of the total interest payment pending for all the RBI approved restructured accounts. Accordingly, this scheme is launched for the upcoming 2 years i.e from January 2018 – January 2020. This scheme will facilitate “Ease of Doing business in J&K”. 
Under this scheme, borrowers will have to pay two-third (2/3) amount of their monthly installment and state govt. will pay the rest amount. The state govt. announces this scheme in the financial budget of Jammu and Kashmir for the year 2018-19.
J&K govt. also ensures that it will not encourage the people to not pay their loans. While announcing the J&K Budget 2018-19, the state govt. has also announced the Assured Career Progression Scheme. This career progression scheme will provide benefits to all Gazetted Cadres of all engineering departments. ",https://imp.center/gov/cms-business-interest-relief-scheme-jammu-kashmir-budget/,https://drive.google.com/file/d/11-W_2X9R5zpOOKXM8lkKgtPcdpsv1JA7/view?usp=sharing
"Jammu & Kashmir Government is going to launch Muhafiz (Guardian) Scheme for the workers in the unorganized sector. Subsequently, this scheme will provide social-economic security to these workers. Under this Muhafiz (Guardian), govt. will cover approx. 3 lakh workers who are registered with “J&K Building and Other Construction Workers Welfare Board (JKBOCWWB)”. These workers will get an accidental, life and disability insurance coverage.
J&K govt. will launch this scheme on 8 January 2018. The children of these workers will also receive educational scholarships. Moreover, govt. will also extend micro credit facilities for these workers. Accordingly, the workers in the unorganized sector will have to make registration through online or other modes.
Initially, govt. will spend Rs. 5 crore as premium amount for these workers. This scheme will benefit the labourers especially belonging to the rural areas.","https://sarkariyojana.com/muhafiz-guardian-scheme-workers-unorganized-sector-jammu-kashmir/#:~:text=Jammu%20%26%20Kashmir%20Government%20has%20launched,social%2Deconomic%20security%20to%20labourers.&text=3%20lakh%20workers%20who%20are,Welfare%20Board%20(JKBOCWWB)%E2%80%9D.",https://drive.google.com/file/d/1gNudb0_In6RKY0g-T_hR4DCpVym6e1Zu/view?usp=sharing
